,name1,name2,success_rate_est,success_rate_lo,success_rate_hi,task_time_est,task_time_lo,task_time_hi
0,Alt-NL,Basic-Control,0.023809523809523836,-0.16666666666666652,0.21428571428571408,11.497108333333337,-1.9287333333333336,28.425433333333327
1,Alt-NL,Basic-Translation,-0.09523809523809512,-0.30952380952380953,0.11904761904761896,20.589666666666666,11.595383333333338,34.628266666666676
2,Alt-NL,Pointed-Highlight,-0.11904761904761896,-0.3095238095238094,0.0714285714285714,4.753466666666668,-5.671233333333333,48.83131666666666
3,Alt-NL,Pointed-Individual,-0.19047619047619035,-0.40476190476190466,0.04761904761904756,1.5064750000000018,-11.920774999999999,25.24901666666667
4,Alt-NL,Pointed-StepByStep,-0.09523809523809512,-0.3095238095238093,0.11904761904761896,0.7102166666666676,-12.269066666666667,13.641450000000003
5,Alt-NL,Pointed-Translation+NL,-0.0714285714285714,-0.2857142857142856,0.11904761904761896,-0.1147500000000008,-11.067866666666665,21.436716666666666
0,Basic-Control,Alt-NL,-0.023809523809523836,-0.21428571428571408,0.16666666666666652,-11.497108333333337,-28.425433333333327,1.5004499999999972
1,Basic-Control,Basic-Translation,-0.11904761904761896,-0.33333333333333337,0.09523809523809512,9.09255833333333,-8.795474999999996,24.48533333333333
2,Basic-Control,Pointed-Highlight,-0.1428571428571428,-0.33333333333333326,0.04761904761904767,-6.743641666666669,-23.28921666666666,36.40894999999999
3,Basic-Control,Pointed-Individual,-0.2142857142857142,-0.4285714285714285,0.023809523809523836,-9.990633333333335,-28.54548333333333,13.424083333333332
4,Basic-Control,Pointed-StepByStep,-0.11904761904761896,-0.33333333333333315,0.09523809523809512,-10.78689166666667,-27.770499999999995,3.3211416666666693
5,Basic-Control,Pointed-Translation+NL,-0.09523809523809523,-0.3095238095238094,0.09523809523809523,-11.611858333333338,-30.124266666666664,12.637983333333334
0,Basic-Translation,Alt-NL,0.09523809523809512,-0.11904761904761896,0.30952380952380965,-20.589666666666666,-34.628266666666676,-11.595383333333338
1,Basic-Translation,Basic-Control,0.11904761904761896,-0.09523809523809512,0.33333333333333337,-9.09255833333333,-24.48533333333333,8.795474999999996
2,Basic-Translation,Pointed-Highlight,-0.023809523809523836,-0.23809523809523814,0.2142857142857142,-15.836199999999998,-29.492050000000006,28.241649999999993
3,Basic-Translation,Pointed-Individual,-0.09523809523809523,-0.3333333333333333,0.16666666666666674,-19.083191666666664,-34.748316666666675,4.659350000000003
4,Basic-Translation,Pointed-StepByStep,0.0,-0.23809523809523803,0.23809523809523814,-19.87945,-33.97333333333334,-6.910299999999999
5,Basic-Translation,Pointed-Translation+NL,0.023809523809523725,-0.2142857142857142,0.26190476190476175,-20.704416666666667,-36.32710000000001,2.376116666666661
0,Pointed-Highlight,Alt-NL,0.11904761904761896,-0.0714285714285714,0.3095238095238094,-4.753466666666668,-48.83131666666666,5.671233333333333
1,Pointed-Highlight,Basic-Control,0.1428571428571428,-0.04761904761904767,0.33333333333333326,6.743641666666669,-36.40894999999999,23.28921666666666
2,Pointed-Highlight,Basic-Translation,0.023809523809523836,-0.2142857142857142,0.23809523809523814,15.836199999999998,-28.241649999999993,29.492050000000006
3,Pointed-Highlight,Pointed-Individual,-0.0714285714285714,-0.28571428571428586,0.16666666666666663,-3.2469916666666663,-49.63414999999999,20.49555
4,Pointed-Highlight,Pointed-StepByStep,0.023809523809523836,-0.19047619047619047,0.23809523809523814,-4.0432500000000005,-49.29281666666666,7.729000000000003
